Date,^BXM,^PUT,^SPX,^VIX,SPY,SHY,IEF,QQQ,TLT
2002-01-02,569.7100219726562,618.3499755859375,1154.6700439453125,22.709999084472656,74.08928680419922,,,33.79808044433594,
2002-01-03,572.0800170898438,621.0,1165.27001953125,21.34000015258789,74.92938232421875,,,34.96935272216797,
2002-01-04,573.780029296875,622.4000244140625,1172.510009765625,20.450000762939453,75.4295883178711,,,35.112613677978516,
2002-01-07,572.739990234375,621.9500122070312,1164.8900146484375,21.940000534057617,74.89730072021484,,,34.72499084472656,
2002-01-08,572.8300170898438,621.8499755859375,1160.7099609375,21.829999923706055,74.72412109375,,,34.960933685302734,
2002-01-09,572.1699829101562,621.25,1155.1400146484375,22.1299991607666,74.1148910522461,,,34.64072799682617,
2002-01-10,572.7899780273438,622.02001953125,1156.550048828125,22.360000610351562,74.44197845458984,,,34.868255615234375,
2002-01-11,571.0499877929688,620.5999755859375,1145.5999755859375,22.600000381469727,73.71092987060547,,,34.42164611816406,
2002-01-14,569.47998046875,620.0399780273438,1138.4100341796875,23.579999923706055,73.24915313720703,,,33.671695709228516,
2002-01-15,572.7100219726562,622.9600219726562,1146.18994140625,22.700000762939453,73.84556579589844,,,33.99190902709961,
2002-01-16,566.1400146484375,618.6300048828125,1127.5699462890625,23.450000762939453,72.35137176513672,,,32.67737579345703,
2002-01-17,571.969970703125,623.6300048828125,1138.8800048828125,22.25,72.89643859863281,,,33.410491943359375,
2002-01-18,567.1300048828125,617.530029296875,1127.5799560546875,22.520000457763672,72.56295776367188,,,32.51729965209961,
2002-01-22,565.2999877929688,615.8699951171875,1119.31005859375,23.610000610351562,72.06278228759766,,,31.51453971862793,
2002-01-23,568.8200073242188,619.6500244140625,1128.1800537109375,21.8799991607666,72.61424255371094,,,32.38248062133789,
2002-01-24,570.4500122070312,620.9500122070312,1132.1500244140625,21.149999618530273,72.83870697021484,,,32.81220245361328,
2002-01-25,571.280029296875,621.47998046875,1133.280029296875,21.010000228881836,72.81951904296875,,,32.71952819824219,
2002-01-28,571.7999877929688,622.4500122070312,1133.06005859375,21.139999389648438,73.01829528808594,,,32.90489959716797,
2002-01-29,560.6900024414062,610.9600219726562,1100.6400146484375,24.350000381469727,70.72245788574219,,,32.00326919555664,
2002-01-30,566.1099853515625,616.469970703125,1113.5699462890625,23.219999313354492,71.74211120605469,,,32.247650146484375,
2002-01-31,572.3400268554688,622.3599853515625,1130.199951171875,21.09000015258789,72.58221435546875,,,32.44987106323242,
2002-02-01,570.030029296875,621.0999755859375,1122.199951171875,21.1200008392334,72.24229431152344,,,32.13810348510742,
2002-02-04,559.4500122070312,609.6400146484375,1094.43994140625,24.8700008392334,70.44669342041016,,,31.110084533691406,
2002-02-05,557.5800170898438,607.8300170898438,1090.02001953125,25.450000762939453,70.01058197021484,,,30.596097946166992,
2002-02-06,554.5800170898438,605.4000244140625,1083.510009765625,26.09000015258789,69.70917510986328,,,30.385408401489258,
2002-02-07,553.4199829101562,603.47998046875,1080.1700439453125,25.110000610351562,69.2730941772461,,,29.652326583862305,
2002-02-08,561.3300170898438,612.4099731445312,1096.219970703125,23.260000228881836,70.60059356689453,,,30.478116989135742,
2002-02-11,569.25,620.8800048828125,1111.93994140625,21.780000686645508,71.46633911132812,,,30.86571502685547,
2002-02-12,567.4299926757812,619.1500244140625,1107.5,21.6200008392334,71.24188232421875,,,30.6129150390625,
2002-02-13,573.0700073242188,624.6699829101562,1118.510009765625,20.850000381469727,71.99858856201172,,,31.135379791259766,
2002-02-14,572.489990234375,624.47998046875,1116.47998046875,21.770000457763672,71.86396026611328,,,31.076385498046875,
2002-02-15,567.6799926757812,621.989990234375,1104.1800537109375,22.3700008392334,71.1136703491211,,,30.14948272705078,
2002-02-19,560.760009765625,615.47998046875,1083.3399658203125,24.43000030517578,69.7476577758789,,,29.222576141357422,
2002-02-20,566.47998046875,621.6799926757812,1097.97998046875,22.65999984741211,70.9212417602539,,,29.618619918823242,
2002-02-21,560.219970703125,615.4500122070312,1080.949951171875,23.799999237060547,69.45265197753906,,,28.211427688598633,
2002-02-22,564.3099975585938,619.3300170898438,1089.8399658203125,22.860000610351562,70.31200408935547,,,28.354673385620117,
2002-02-25,571.27001953125,626.5800170898438,1109.4300537109375,21.84000015258789,71.4727554321289,,,29.500656127929688,
2002-02-26,571.9199829101562,626.6599731445312,1109.3800048828125,21.68000030517578,71.32528686523438,,,29.391111373901367,
